#/gcsv export of scid.eco
ECO,Opening,Moves
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.g3 g6",1.f4 d5 2.Nf3 Nf6 3.g3 g6 *
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.g3 g6",1.f4 d5 2.Nf3 Nf6 3.g3 g6 4.Bg2 Bg7 *
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.g3 g6: 5.d3",1.f4 d5 2.Nf3 Nf6 3.g3 g6 4.Bg2 Bg7 5.d3 *
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.g3 g6: 5.O-O",1.f4 d5 2.Nf3 Nf6 3.g3 g6 4.Bg2 Bg7 5.O-O *
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.g3 g6: 5.O-O O-O",1.f4 d5 2.Nf3 Nf6 3.g3 g6 4.Bg2 Bg7 5.O-O O-O *
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.g3 g6: 5.O-O O-O 6.d3",1.f4 d5 2.Nf3 Nf6 3.g3 g6 4.Bg2 Bg7 5.O-O O-O 6.d3 *
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.g3 g6: 6.d3 c6",1.f4 d5 2.Nf3 Nf6 3.g3 g6 4.Bg2 Bg7 5.O-O O-O 6.d3 c6 *
A03,"Bird:/g1...d5 2.Nf3 Nf6 3.g3 g6: 6.d3 c5",1.f4 d5 2.Nf3 Nf6 3.g3 g6 4.Bg2 Bg7 5.O-O O-O 6.d3 c5 *
A03,"Bird:/gLasker Variation",1.f4 d5 2.Nf3 Nf6 3.e3 *
A03,"Bird:/gLasker, 3...Bg4",1.f4 d5 2.Nf3 Nf6 3.e3 Bg4 *
A03,"Bird:/gLasker, 3...e6",1.f4 d5 2.Nf3 Nf6 3.e3 e6 *
A03,"Bird:/gLasker, 3...c5",1.f4 d5 2.Nf3 Nf6 3.e3 c5 *
A03,"Bird:/gLasker, 3...c5 4.b3",1.f4 d5 2.Nf3 Nf6 3.e3 c5 4.b3 *
A03,"Bird:/gLasker, 3...g6",1.f4 d5 2.Nf3 Nf6 3.e3 g6 *
A04,"Reti",1.Nf3/g*
A04,"Reti:/gHerrstrom Gambit",1.Nf3 g5 *
A04,"Reti:/g1...b6",1.Nf3 b6 *
A04,"Reti:/g1...b5",1.Nf3 b5 *
A04,"Reti:/g1...Nc6",1.Nf3 Nc6 *
A04,"Reti:/g1...e6",1.Nf3 e6 *
A04,"Reti:/g1...e6",1.Nf3 e6 2.g3 *
A04,"Reti:/g1...g6",1.Nf3 g6 *
A04,"Reti:/g1...g6",1.Nf3 g6 2.g3 *
A04,"Reti:/g1...g6",1.Nf3 g6 2.g3 Bg7 *
A04,"Reti:/g1...g6",1.Nf3 g6 2.g3 Bg7 3.Bg2 *
A04,"Reti:/g1...f5",1.Nf3 f5 *
A04,"Reti:/g1...f5 2.d3",1.Nf3 f5 2.d3 *
A04,"Reti:/g1...f5 2.d3 Nf6",1.Nf3 f5 2.d3 Nf6 *
A04,"Reti:/gLisitsin Deferred",1.Nf3 f5 2.d3 Nf6 3.e4 *
A04,"Reti:/g1...f5 2.g3",1.Nf3 f5 2.g3 *
A04,"Reti:/gLisitsin",1.Nf3 f5 2.e4 *
A04,"Reti:/gLisitsin: 3.Ng5 Nf6",1.Nf3 f5 2.e4 fxe4 3.Ng5 Nf6 *
A04,"Reti:/gLisitsin: 3.Ng5 Nf6",1.Nf3 f5 2.e4 fxe4 3.Ng5 Nf6 4.d3 e5 *
A04,"Reti:/gLisitsin: 3.Ng5 Nf6",1.Nf3 f5 2.e4 fxe4 3.Ng5 Nf6 4.d3 e3 *
A04,"Reti:/gLisitsin: 3.Ng5 e5",1.Nf3 f5 2.e4 fxe4 3.Ng5 e5 *
A04,"Reti:/gLisitsin: 3.Ng5 d5",1.Nf3 f5 2.e4 fxe4 3.Ng5 d5 *
A04,"Reti:/g1...d6",1.Nf3 d6 *
A04,"Reti:/g1...c5",1.Nf3 c5 *
A04,"Reti:/g1...c5, Nimzowitsch-Larsen",1.Nf3 c5 2.b3 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 b6 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 b6 3.Bg2 Bb7 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 g6 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 g6 3.Bg2 Bg7 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 g6 3.Bg2 Bg7 4.O-O Nc6 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 g6 3.Bg2 Bg7 4.O-O Nc6 5.d3 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 g6 3.Bg2 Bg7 4.O-O Nc6 5.d3 Nf6 6.e4 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 g6 3.Bg2 Bg7 4.O-O Nc6 5.d3 Nf6 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 g6 3.Bg2 Bg7 4.O-O Nc6 5.d3 d6 6.e4 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 g6 3.Bg2 Bg7 4.O-O Nc6 5.d3 e6 6.e4 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 Nc6 *
A04,"Reti:/g1...c5",1.Nf3 c5 2.g3 Nc6 3.Bg2 *
A05,"Reti:/g1...Nf6",1.Nf3 Nf6 *
A05,"Reti:/g1...Nf6 2.b3",1.Nf3 Nf6 2.b3 *
A05,"Reti:/gSantasiere's folly",1.Nf3 Nf6 2.b4 *
A05,"Reti:/g1...Nf6 2.e3",1.Nf3 Nf6 2.e3 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 c5 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 c5 3.Bg2 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 c5 3.Bg2 Nc6 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 b6 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 b6 3.Bg2 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 b6 3.Bg2 Bb7 *
A05,"Reti:/gKIA, Spassky",1.Nf3 Nf6 2.g3 b5 *
A05,"Reti:/gKIA, Spassky",1.Nf3 Nf6 2.g3 b5 3.Bg2 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 g6 *
A05,"Reti:/gKIA, Reti-Smyslov Variation",1.Nf3 Nf6 2.g3 g6 3.b4 *
A05,"Reti:/gKIA, Reti-Smyslov Variation",1.Nf3 Nf6 2.g3 g6 3.b4 Bg7 5.Bb2 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 g6 3.Bg2 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 g6 3.Bg2 Bg7 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 g6 3.Bg2 Bg7 4.O-O *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 g6 3.Bg2 Bg7 4.O-O O-O *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 g6 3.Bg2 Bg7 4.O-O O-O 5.d3 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 g6 3.Bg2 Bg7 4.O-O O-O 5.d3 c5 *
A05,"Reti:/gKIA",1.Nf3 Nf6 2.g3 g6 3.Bg2 Bg7 4.O-O O-O 5.d3 d6 *
A06,"Reti:/g1...d5",1.Nf3 d5 *
A06,"Reti:/gAmpel Variation",1.Nf3 d5 2.Rg1 *
A06,"Reti:/gOld Indian Attack",1.Nf3 d5 2.d3 *
A06,"Reti:/gOld Indian Attack",1.Nf3 d5 2.d3 Nf6 *
A06,"Reti:/g1...d5 2.e3",1.Nf3 d5 2.e3 *
A06,"Reti:/gSantasiere's folly",1.Nf3 d5 2.b4 *
A06,"Reti:/gSantasiere's folly",1.Nf3 d5 2.b4 Nf6 *
A06,"Reti:/gTennison/Zukertort Gambit",1.Nf3 d5 2.e4 *
A06,"Reti:/gTennison Gambit Accepted",1.Nf3 d5 2.e4 dxe4 *
A06,"Reti:/gNimzowitsch-Larsen",1.Nf3 d5 2.b3 *
A06,"Reti:/gNimzowitsch-Larsen, 2...c5",1.Nf3 d5 2.b3 c5 *
A06,"Reti:/gNimzowitsch-Larsen, 2...Bg4",1.Nf3 d5 2.b3 Bg4 *
A06,"Reti:/gNimzowitsch-Larsen, 2...Bg4",1.Nf3 d5 2.b3 Bg4 3.Bb2 *
A06,"Reti:/gNimzowitsch-Larsen, 2...Bg4",1.Nf3 d5 2.b3 Bg4 3.Bb2 Nd7 4.e3 *
A06,"Reti:/gNimzowitsch-Larsen, 2...Nf6",1.Nf3 d5 2.b3 Nf6 *
A06,"Reti:/gNimzowitsch-Larsen, 2...Nf6",1.Nf3 d5 2.b3 Nf6 3.Bb2 *
A06,"Reti:/gNimzowitsch-Larsen, 2...Nf6",1.Nf3 d5 2.b3 Nf6 3.Bb2 e6 *
A06,"Reti:/gNimzowitsch-Larsen, 2...Nf6",1.Nf3 d5 2.b3 Nf6 3.Bb2 e6 4.e3 *
A07,"Reti:/gKIA",1.Nf3 d5 2.g3 *
A07,"Reti:/gKIA",1.Nf3 d5 2.g3 Nc6 *
A07,"Reti:/gKIA",1.Nf3 d5 2.g3 Nc6 3.Bg2 e5 *
A07,"Reti:/gKIA",1.Nf3 d5 2.g3 Nc6 3.Bg2 e5 4.d3 Nf6 *
A07,"Reti:/gKIA",1.Nf3 d5 2.g3 Nc6 3.Bg2 e5 4.d3 Nf6 5.O-O *
A07,"Reti:/gKIA",1.Nf3 d5 2.g3 Nc6 3.Bg2 e5 4.d3 Nf6 5.O-O Be7 *
A07,"Reti:/gKIA",1.Nf3 d5 2.g3 c6 *
A07,"Reti:/gKIA, Yugoslav",1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 *
A07,"Reti:/gKIA, Yugoslav",1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.O-O *
A07,"Reti:/gKIA, Yugoslav",1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.O-O Nd7 *
A07,"Reti:/gKIA, Yugoslav",1.Nf3 d5 2.g3 c6 3.Bg2 Bg4 4.O-O Nd7 5.d3 *
A07,"Reti:/gKIA, Yugoslav",1.Nf3 d5 2.g3 Nf6 3.Bg2 c6 4.O-O Bg4 *
A07,"Reti:/gKIA, Yugoslav",1.Nf3 d5 2.g3 Nf6 3.Bg2 c6 4.O-O Bg4 5.d3 *
A07,"Reti:/gKIA, Yugoslav, Main Line",1.Nf3 d5 2.g3 Nf6 3.Bg2 c6 4.O-O Bg4 5.d3 Nbd7 *
A07,"Reti:/gKIA, Yugoslav, Main Line, 6.Nbd2",1.Nf3 d5 2.g3 Nf6 3.Bg2 c6 4.O-O Bg4 5.d3 Nbd7 6.Nbd2 *
A07,"Reti:/gKIA, Yugoslav, Main Line, 6.Nbd2 e6",1.Nf3 d5 2.g3 Nf6 3.Bg2 c6 4.O-O Bg4 5.d3 Nbd7 6.Nbd2 e6 *
A07,"Reti:/gKIA, Yugoslav, Main Line, 6.Nbd2 e5",1.Nf3 d5 2.g3 Nf6 3.Bg2 c6 4.O-O Bg4 5.d3 Nbd7 6.Nbd2 e5 *
A07,"Reti:/gKIA",1.Nf3 d5 2.g3 Bg4 *
A07,"Reti:/gKIA, Keres Variation",1.Nf3 d5 2.g3 Bg4 3.Bg2 Nd7 *
A07,"Reti:/gKIA",1.Nf3 d5 2.g3 Nf6 *
A07,"Reti:/gKIA",1.Nf3 d5 2.g3 Nf6 3.Bg2 *
A07,"Reti:/gKIA, Neo-Gruenfeld",1.Nf3 d5 2.g3 Nf6 3.Bg2 g6 *
A07,"Reti:/gKIA",1.Nf3 d5 2.g3 Nf6 3.Bg2 Bf5 *
A07,"Reti:/gKIA",1.Nf3 d5 2.g3 Nf6 3.Bg2 e6 *
A07,"Reti:/gKIA",1.Nf3 d5 2.g3 Nf6 3.Bg2 c6 *
A07,"Reti:/gKIA, Petrosian Variation",1.Nf3 d5 2.g3 Nf6 3.Bg2 c6 4.O-O Bf5 5.d3 e6 6.Nbd2 *
A07,"Reti:/gKIA",1.Nf3 d5 2.g3 g6 *
A07,"Reti:/gKIA",1.Nf3 d5 2.g3 g6 3.Bg2 *
A07,"Reti:/gKIA, Pachman",1.Nf3 d5 2.g3 g6 3.Bg2 Bg7 4.O-O e5 5.d3 Ne7 *
